"""
    Chapter 最終問題 49.      Kaggleのデータ分析コンテストに挑戦する.
                            ・提出はデータ分析に使用したコード(.py)と予測結果の出力(.txt)の二つを提出せよ．
                            ・予測精度の高さとコードの内容を総合的に評価する．
                            House Prices: Advanced Regression Techniquesのデータ分析に挑戦せよ．
"""

------------------------------------------------------
予測精度 (Accuracy): 0.12473
------------------------------------------------------

コードのコメントに関する部分は，丁寧な日本語にするため，生成AIに補助してもらった．

＜参考文献＞
1625,122109.74935184998
1626,159150.19875986993
1627,185614.24651435376
1628,272442.57449562824
1629,175070.09722878918
1630,379753.9089462633
1631,211574.15933975353
1632,243941.04415669476
1633,170281.05455277927
1634,188760.9162392483
1635,177816.7100446276
1636,158821.06399730156
1637,200726.50053595743
1638,190684.37950576248
1639,183723.936702676
1640,265389.40058243007
1641,179722.40349599728
1642,223784.90697463168
1643,226416.0366905858
1644,227864.04081379526
1645,192641.7728220365
1646,162887.14398208263
1647,159589.30969146462
1648,133684.24446914767
1649,137757.20109370866
1650,114172.68363359022
1651,122944.32272588942
1652,97054.60946603642
1653,96946.25506813495
1654,150856.31510394037
1655,153665.25946563494
1656,147872.6028346125
1657,149290.87150420083
1658,147533.09220212264
1659,137974.6722672318
1660,151759.50276870243
1661,502760.2392120861
1662,414381.23613118817
1663,396252.5084974022
1664,501826.5256229937
1665,299981.14947804256
1666,345148.45764985605
1667,396040.7102727842
1668,330797.59597574157
1669,294219.63014992926
1670,344214.4610733432
1671,266803.32841989765
1672,472409.34400332964
1673,307406.1023415485
1674,245053.72041532796
1675,194569.04306459017
1676,198212.79993736182
1677,221548.03867727896
1678,457652.4582622152
1679,436560.08802621573
1680,349635.4750196851
1681,235030.1116952446
1682,311847.2560352315
1683,185441.75534645093
1684,174369.3853269985
1685,172196.21256569953
1686,169933.0773962452
1687,169811.9982695816
1688,186575.89768787593
1689,184402.51614052104
1690,187939.88164108692
1691,177821.06565049483
1692,254495.48738963334
1693,171353.9905848327
1694,183374.17767472743
1695,167099.44922849705
1696,275920.6138707546
1697,171654.8139732965
1698,377664.32637519453
1699,329160.1011395839
1700,250602.94554689227
1701,268620.6509292785
1702,254469.88975743877
1703,260460.86054679766
1704,291370.0208478661
1705,223962.43495938936
1706,451233.8040213845
1707,209104.97382220722
1708,208495.61415202476
1709,280578.2022526355
1710,218466.4580862885
1711,249403.891069405
1712,271911.7579030881
1713,270275.39954297367
1714,227633.52490401213
1715,197051.00535329542
1716,173655.6113548751
1717,165919.71021894625
1718,142444.01461256534
1719,195888.57148182733
1720,234478.22504472724
1721,160300.96642967
1722,130974.07263496653
1723,158449.80915801847
1724,204284.26703030177
1725,240481.4487280876
1726,188800.6190190896
1727,166143.36338550568
1728,178256.18382096835
1729,166997.77763085286
1730,154471.556368275
1731,121236.46906554927
1732,130813.52766312112
1733,116888.7757298535
1734,119651.86582648927
1735,132591.6974100135
1736,117628.07456720342
1737,350580.82079694775
1738,227362.77744925304
1739,284458.7075183444
1740,224978.05350989912
1741,194797.19446562117
1742,171776.7429413651
1743,171706.65513169533
1744,306262.6332897744
1745,216428.08153652487
1746,188634.19812475567
1747,221705.76100852134
1748,235951.29796101296
1749,158628.52994878098
1750,129738.02731208465
1751,249731.87137668036
1752,125282.25804211396
1753,137242.25809791553
1754,189386.4895170791
1755,173690.91895557108
1756,127597.44297224226
1757,120935.46980163781
1758,144117.64214875593
1759,164084.11615799248
1760,166111.87279054263
1761,140370.42097089038
1762,171586.6891011057
1763,167688.17579662212
1764,120664.62825849
1765,153661.78178125137
1766,175073.11099885887
1767,210199.4468986347
1768,144861.88572955868
1769,171054.52118831433
1770,143955.1993139728
1771,120676.29870722693
1772,141958.80557327133
1773,127458.26286514493
1774,138493.19728481764
1775,137884.0868631117
1776,123898.35184088259
1777,116114.39255902356
1778,137510.34052036662
1779,114414.507282237
1780,171850.46322306414
1781,131529.52578686684
1782,91695.48552899054
1783,143377.00733688424
1784,102577.91678943658
1785,122003.05127316006
1786,127169.91865773767
1787,155448.79996844058
1788,63213.49499437296
1789,90675.88698335867
1790,83531.62123093252
1791,167568.18028844308
1792,154784.09060882666
1793,127832.74174634316
1794,142877.90438072066
1795,134525.54656855526
1796,120377.10414333489
1797,109430.98724125088
1798,122443.08474342081
1799,110897.14842002185
1800,128386.89871580513
1801,132795.63066488848
1802,121155.86839305732
1803,141867.95632289824
1804,139909.75920785667
1805,139022.29449358225
1806,119549.37529777063
1807,132425.6064267501
1808,116994.38183401157
1809,119634.46819028172
1810,144213.4656816472
1811,105284.98292687655
1812,97411.50485098205
1813,128922.52335123696
1814,93599.49196568075
1815,54339.10233448112
1816,98304.6004011747
1817,101864.00585932838
1818,149551.32730555814
1819,128051.63427515504
1820,65539.70084155959
1821,99298.97651399822
1822,143274.92343963042
1823,47561.32815223422
1824,138650.9775258773
1825,130073.01938340852
1826,101903.73917157983
1827,101682.58578352118
1828,133913.76427802164
1829,111510.22404423216
1830,140595.0144689614
1831,151731.57202161668
1832,87689.12312239179
1833,134309.35785206172
1834,117606.38945846833
1835,138656.79445171898
1836,125792.17495747701
1837,85929.07286712938
1838,129552.40761658306
1839,97622.83348166553
1840,147652.21095256804
1841,144665.29286499476
1842,84339.76595817751
1843,125977.90266187159
1844,135537.60134617102
1845,135857.54889410056
1846,154031.31772030477
1847,171278.36011231376
1848,60044.2444057584
1849,101910.43090437815
1850,119537.96473417811
1851,154352.5630498271
1852,127619.03620853805
1853,133250.12933085626
1854,165927.4280097531
1855,137472.66301880675
1856,214109.77204689558
1857,146478.985780192
1858,143825.19622383118
1859,120498.90108782492
1860,160316.36323525748
1861,119951.96020753321
1862,277942.0828029585
1863,275040.9430632218
1864,275040.9430632218
1865,317836.1166098123
1866,332420.6319529486
1867,236631.02201654072
1868,315799.8437998481
1869,209177.0387492723
1870,230798.37162556796
1871,241120.25297954818
1872,170584.21508152923
1873,245608.46885520808
1874,142698.5857803837
1875,199887.48678143483
1876,195038.1240424128
1877,209722.5444448341
1878,199632.58164105233
1879,133154.57600783336
1880,137181.21145115592
1881,240789.83217039722
1882,261453.96327376866
1883,195203.6181178754
1884,206521.05813829126
1885,249681.99154099263
1886,317610.32365947496
1887,207839.62787783897
1888,281071.6677189028
1889,155577.26612380834
1890,126821.13906832514
1891,132998.24533591885
1892,104658.99222203143
1893,132880.93644354402
1894,125692.64780385143
1895,136056.30780853215
1896,126066.66771323656
1897,116482.76940308367
1898,114359.51477197713
1899,149076.90017633955
1900,156093.74123529473
1901,167512.74722410535
1902,144701.63851103556
1903,225597.9151428874
1904,132853.987691974
1905,194890.9789112532
1906,178730.33712153154
1907,208107.35637510594
1908,110835.86729288982
1909,141305.9923622095
1910,123540.22560582627
1911,205864.976411611
1912,306480.37458916457
1913,147874.88585817764
1914,63619.03026435757
1915,316028.73410249816
1916,66215.25739583846
1917,236000.41033235533
1918,138739.44308674915
1919,168522.21667170562
1920,136613.4640455932
1921,460100.7687100662
1922,324129.7048256871
1923,223854.80763715663
1924,240237.78335028127
1925,197339.20142954768
1926,418624.3479604158
1927,130887.00579611449
1928,152838.83300584625
1929,123328.39044237458
1930,126107.31752372679
1931,141169.76375628
1932,135811.0519125881
1933,169206.02581700723
1934,179365.71280248926
1935,171007.61935538193
1936,186981.35073015734
1937,181572.5022628937
1938,181046.55746146466
1939,242526.81573847012
1940,190917.4697332689
1941,171330.55425993944
1942,190920.7492029015
1943,208176.92339814658
1944,362450.20738571574
1945,399734.39575499383
1946,148418.89220711894
1947,314466.7317824296
1948,177614.6304809003
1949,238694.67142797017
1950,180311.89005468917
1951,252780.66678063685
1952,225328.86892015283
1953,167972.29899456
1954,180263.4197884638
1955,136474.81716165692
1956,302860.7878777445
1957,159110.76277642036
1958,288409.2532113175
1959,139875.0218705943
1960,115466.73960339697
1961,120242.67819348644
1962,95994.0615928514
1963,100791.32584578969
1964,111820.22557218425
1965,149577.79395895486
1966,144931.44048213528
1967,272971.4464766504
1968,447160.9094968793
1969,413968.43317071727
1970,486716.9536205126
1971,478263.3104700055
1972,401822.88510653627
1973,268402.7830303564
1974,316021.6641117285
1975,504937.4450258987
1976,258939.0321994483
1977,360049.4731348729
1978,384308.8357719569
1979,341387.8635302511
1980,198375.27222875578
1981,340116.678554065
1982,224243.33276959325
1983,204649.42112652777
1984,172423.50837961398
1985,218001.72669634098
1986,212950.41898756978
1987,177691.45799996235
1988,178367.58913059018
1989,193520.3930707527
1990,212820.18194070924
1991,227900.0158892544
1992,204634.08696812383
1993,171097.3986095009
1994,236822.9464537547
1995,182315.25083004037
1996,253632.01412325687
1997,323062.36572528706
1998,340073.59585388406
1999,265433.9586371333
2000,326090.7093140879
2001,267958.6690084909
2002,247346.56967657956
2003,266910.2272527795
2004,264313.56080500234
2005,214950.66835644926
2006,225603.8403295142
2007,249549.9871626345
2008,209963.81783934587
2009,185830.67426287069
2010,188803.15234264734
2011,146942.10013345035
2012,170710.56931452875
2013,175937.61965749905
2014,184510.64320951415
2015,195913.7626045794
2016,187606.7587278162
2017,194287.36603100807
2018,123700.32762302112
2019,134480.3164913842
2020,111772.12535979367
2021,107299.06429945919
2022,188561.20846922934
2023,139247.71473977625
2024,254686.84525633382
2025,390649.40935657785
2026,176222.57405064369
2027,153907.6149293553
2028,150557.10684221887
2029,171409.4505599987
2030,273725.04964474693
2031,229416.75396486965
2032,245992.821645371
2033,269435.8459343087
2034,166580.81277462424
2035,207143.36779516225
2036,196185.28429193437
2037,200980.35509161267
2038,294733.1428283491
2039,206594.01307447487
2040,327509.2605076559
2041,294712.7208399508
2042,197515.1218671975
2043,178922.56351109725
2044,170155.08843987001
2045,225262.08369744112
2046,150905.83788203055
2047,141573.38501607295
2048,138205.19891830924
2049,135753.4214524481
2050,177921.1717974225
2051,108432.91841304259
2052,128486.04857745075
2053,145250.38790519058
2054,83680.78587670377
2055,155257.8711711737
2056,143142.9239864505
2057,120192.73436882698
2058,212050.38373610697
2059,133083.69098759294
2060,174376.4862371346
2061,169827.03700929513
2062,134707.72566413315
2063,114591.22148290565
2064,143853.7349951266
2065,115349.21727171626
2066,159706.31976012266
2067,115807.85612623967
2068,142206.34696112812
2069,81190.82419497309
2070,115706.46715606777
2071,90817.75896506719
2072,135669.74186915584
2073,137264.17387895376
2074,182686.30589951685
2075,146299.02575991568
2076,120631.67064190123
2077,155422.90423125608
2078,126248.43979876404
2079,139143.35611315162
2080,124131.66520657369
2081,128867.09187290462
2082,123430.4536664232
2083,142226.3217462259
2084,118540.91561847387
2085,121828.80876795083
2086,97306.57619188212
2087,123924.16344982998
2088,96652.29497032957
2089,77466.65634723037
2090,130760.98997506694
2091,122589.71127955156
2092,127939.28809518355
2093,122450.1525297108
2094,118434.30581627984
2095,152025.2235606792
2096,76977.5385068773
2097,94368.38239777347
2098,137261.2454782423
2099,62406.53711490532
2100,84971.29186258082
2101,124412.63910803123
2102,126148.46065481922
2103,105568.27880174448
2104,127752.83492803665
2105,126022.53121741189
2106,64024.320147714534
2107,222632.30986674258
2108,114801.76967372982
2109,111594.07095427344
2110,128793.61562798485
2111,149083.3836636833
2112,138317.02876615277
2113,116874.76352054611
2114,109785.13044340025
2115,162564.52035293062
2116,118144.11533171478
2117,145487.4611320134
2118,127427.26939621018
2119,109829.57345624227
2120,109127.14204956676
2121,86845.93219722151
2122,103945.21976509626
2123,85600.29634404519
2124,159764.6699690359
2125,124555.92267613634
2126,142331.81502460418
2127,143238.21433355164
2128,119478.35112895384
2129,99210.50557240519
2130,130673.17029264862
2131,135015.07073897345
2132,123755.90380578088
2133,125558.53415380947
2134,117943.51063255918
2135,94999.69258559072
2136,75279.87348937981
2137,109385.46143099444
2138,131870.45573526926
2139,151640.97558696457
2140,139294.2062086796
2141,140123.85585471784
2142,124179.75631640006
2143,141418.4258941986
2144,115116.54620516609
2145,136072.41021173127
2146,165241.38826433252
2147,163850.05059412276
2148,140384.9825195101
2149,135255.1747168489
2150,235532.92279960588
2151,117991.32843115342
2152,169472.36495753226
2153,167043.49425145742
2154,104935.44326696785
2155,132874.4233235909
2156,247029.61861556792
2157,229242.52881373613
2158,236644.13215426973
2159,200923.0224281706
2160,172323.87909395574
2161,242214.75841274945
2162,419475.25772017764
2163,354157.79386774084
2164,231500.19018442882
2165,199661.35554350726
2166,145153.09470114694
2167,221999.59663305798
2168,204802.4074959026
2169,191655.41445669584
2170,220226.77838073162
2171,145386.22587407872
2172,137778.36784559765
2173,170685.60715231457
2174,238976.862902277
2175,298516.5248146364
2176,327547.8646822943
2177,247286.11709052164
2178,210253.18432701912
2179,141296.87254487196
2180,221324.5206578063
2181,189208.57125028185
2182,220918.39981374028
2183,193372.48164838098
2184,122085.63149828416
2185,120329.95396122227
2186,138619.73627219629
2187,150064.38470970717
2188,150222.2655222388
2189,223402.0448888132
2190,79724.37819223346
2191,84339.25501112432
2192,89064.42824289904
2193,103977.35064591854
2194,103636.12847323925
2195,110459.19823152525
2196,98967.53942422569
2197,119674.6379270845
2198,166202.83716080704
2199,174697.50937511976
2200,147156.95613211734
2201,138780.4057288309
2202,204528.95807217027
2203,144223.5722213541
2204,191106.53198152114
2205,120839.62213243215
2206,147032.16868489096
2207,198839.9888642754
2208,254560.2812778399
2209,218681.8050885612
2210,115662.30360260898
2211,118545.41165028936
2212,119732.99406595541
2213,104217.10099362758
2214,126978.79920400247
2215,108963.76314934863
2216,137995.61019965928
2217,68972.46329194104
2218,73717.93296231146
2219,70189.24355358366
2220,73307.05443949833
2221,317891.1924239575
2222,277792.5590327155
2223,272924.65078896174
2224,194283.1144579198
2225,118911.28997337903
2226,170980.40572752728
2227,203871.47708318318
2228,268041.2581453644
2229,250705.21257531137
2230,153970.3651906727
2231,208720.86253308455
2232,183007.40973766064
2233,179732.5236051465
2234,234495.25457336692
2235,220082.46660880215
2236,285073.12761306757
2237,363270.0652612749
2238,191948.58641758937
2239,113571.86293012643
2240,159472.13666058317
2241,148859.06784841395
2242,125958.0146772093
2243,126512.35712846692
2244,101642.63279699156
2245,93983.51604343284
2246,140559.03606854245
2247,111833.58879178062
2248,128695.19864631264
2249,124573.29549910127
2250,129702.40024343552
2251,104825.50597826189
2252,162927.54256418408
2253,151320.1131760579
2254,171888.7291858947
2255,187212.08877617962
2256,178714.24430724603
2257,210840.44698571315
2258,167175.4501857475
2259,178490.54506964894
2260,162704.05451168856
2261,187622.63000224842
2262,206479.89316483188
2263,356571.65141225763
2264,473559.9385118456
2265,175843.206605526
2266,287911.42518004106
2267,389510.0173475444
2268,403719.5547757603
2269,151304.32777867952
2270,187778.60088666587
2271,227539.5810937197
2272,200164.73665771083
2273,169529.13814929154
2274,181561.4746783057
2275,170505.85128446942
2276,194456.4206769883
2277,186331.23387008638
2278,143379.61875197088
2279,126354.01318104222
2280,122122.7443378842
2281,163249.10702602266
2282,182978.7427845649
2283,100816.42739240239
2284,111483.31721520242
2285,146461.99663504248
2286,125198.5108583438
2287,353004.0878355372
2288,259674.75855498272
2289,416201.2546735701
2290,488725.80960024864
2291,325757.71252915415
2292,457650.9344667043
2293,458669.5999645756
2294,433812.89071491425
2295,474230.1839709582
2296,305173.81246498256
2297,317802.6446539057
2298,329078.10235322797
2299,378933.8621054759
2300,332139.519561657
2301,274771.85743455787
2302,242702.74321072162
2303,248189.25072015251
2304,246075.898407281
2305,196466.2954305317
2306,194535.9409141584
2307,197347.8815545069
2308,230288.07352986588
2309,276131.2709822131
2310,205858.01381490784
2311,200696.25322471868
2312,178405.19856860448
2313,178584.22885259986
2314,169641.3249320789
2315,172006.64145002238
2316,186049.04004511426
2317,193038.92152026857
2318,177407.73101388747
2319,177917.65220632698
2320,182850.73036923265
2321,239660.52715288097
2322,174542.78816333893
2323,181837.74665980274
2324,172396.94345464552
2325,217534.49902773678
2326,169164.12401146145
2327,208880.5938374341
2328,222729.17804497914
2329,189782.08694682404
2330,178492.35137227213
2331,386164.5265688416
2332,430223.0931972043
2333,322882.8020936228
2334,252081.42073251845
2335,276290.14712443
2336,324037.93128789135
2337,200421.15171599577
2338,273185.5189056942
2339,223729.7007697875
2340,394804.54123441473
2341,229285.9813433012
2342,239809.72841766692
2343,226569.00093758735
2344,217926.96901130068
2345,241631.8179968411
2346,210743.49508359504
2347,195766.81614510305
2348,235276.92096653432
2349,180606.33521854237
2350,279885.3770805412
2351,248031.34718096236
2352,251920.67274719384
2353,226817.4920525868
2354,139288.91439923248
2355,145016.0966929501
2356,151771.9702914629
2357,189834.93537792016
2358,189293.0528088529
2359,132370.9457830917
2360,119235.05305317036
2361,147562.80960965244
2362,287901.99577836756
2363,139768.42993480514
2364,153769.6738967827
2365,224978.80185802584
2366,191789.39261277782
2367,233172.0174981179
2368,214855.33792397936
2369,229393.76704516594
2370,170438.0527278936
2371,172151.90783408398
2372,187399.0065785613
2373,279779.91404383566
2374,308800.2406612275
2375,249056.55453359496
2376,300931.9033898944
2377,356548.8569376377
2378,152818.67181229327
2379,194555.0210754562
2380,146509.45288903062
2381,170663.7491515602
2382,202350.63328864082
2383,207880.5393419578
2384,243243.90701136028
2385,167010.7069717338
2386,142670.46681194723
2387,137246.77678954674
2388,97071.2949420365
2389,125839.56872308369
2390,144912.2670873769
2391,137590.78380694523
2392,117490.75912829145
2393,165327.80802419264
2394,143908.46008101382
2395,199808.9174717922
2396,142769.1329749254
2397,216222.57938609808
2398,133187.90531178936
2399,60276.79707883641
2400,61326.442056589956
2401,109283.91613699139
2402,140775.43089011972
2403,133626.33902600355
2404,154122.55146254497
2405,157126.0105032568
2406,140336.64542029603
2407,126706.81393009017
2408,143429.16629954148
2409,126751.54425975146
2410,157304.48946205876
2411,124771.41518174052
2412,154882.23602339078
2413,131518.6390082786
2414,140530.01278344175
2415,133321.18632025123
2416,125552.7829967901
2417,134955.08316900133
2418,132138.0838771281
2419,127651.53328398103
2420,128464.28193137325
2421,147083.47989188173
2422,110965.61293696119
2423,121951.6070428709
2424,147176.83323845654
2425,195268.72490018734
2426,131959.6489322955
2427,128952.55641207175
2428,173141.28979159315
2429,116866.710665861
2430,130112.14056348153
2431,113215.71427198518
2432,141877.38545109457
2433,144743.03343481518
2434,137982.88877322074
2435,143561.80410065144
2436,107955.23397369604
2437,110791.57009828828
2438,127957.25787779692
2439,111184.7575744009
2440,122106.02273426625
2441,95747.56203939968
2442,102052.80072341223
2443,125588.06193005896
2444,128831.57165897563
2445,83340.10948514502
2446,130097.67610849478
2447,184124.8148762289
2448,131252.24423493198
2449,102692.21713911206
2450,144223.39576271994
2451,129779.22120332292
2452,214453.47141454098
2453,94228.00433331054
2454,116848.48864361546
2455,119133.27720946306
2456,134155.85350248287
2457,125578.21250614064
2458,114800.70077757257
2459,110921.04432425961
2460,138517.8821842542
2461,119512.29084351793
2462,136130.6495235274
2463,121473.33857491042
2464,170184.55394342067
2465,132522.36871909312
2466,109128.12802088595
2467,143318.48379536287
2468,73612.67470092283
2469,78852.77716419137
2470,184428.06180101322
2471,211160.7918907717
2472,154226.01242905646
2473,119059.18010013181
2474,79529.4171079765
2475,214368.29366193552
2476,120842.64584699996
2477,128901.64956171555
2478,145424.02996604145
2479,105950.98019346171
2480,144160.01301704723
2481,118044.80730235067
2482,131848.30041506104
2483,113499.83854309774
2484,123744.690083633
2485,128543.60766085761
2486,152588.00934230234
2487,167735.99113739093
2488,166925.20876652648
2489,145428.99457783054
2490,144973.93720703258
2491,88096.19085049718
2492,185111.36826480724
2493,142619.3473215758
2494,153779.3084587621
2495,87339.8448204325
2496,254643.77951999253
2497,153787.8717172969
2498,116721.6887683541
2499,85760.82903822817
2500,126841.10804325061
2501,138100.1101137379
2502,150365.31271823286
2503,105085.72101126956
2504,170896.11564466642
2505,215436.64433430845
2506,252784.20932815014
2507,309800.68571948016
2508,252338.64470862722
2509,215961.8320710262
2510,223204.03311633048
2511,179622.76273258947
2512,206969.81049896617
2513,211985.2138100607
2514,242674.5506104076
2515,148679.2551264775
2516,165479.6682500626
2517,139796.58152027402
2518,154698.04128147854
2519,224008.23179580647
2520,207295.0582101012
2521,186883.07860529967
2522,221934.4944077548
2523,122381.65913733699
2524,137809.3072008599
2525,146663.24541434014
2526,144601.09188340922
2527,118409.3474430015
2528,129983.36742067667
2529,140740.94337101222
2530,123941.56197691883
2531,258920.59041440504
2532,228948.91758335606
2533,196526.30833585246
2534,232275.8785000073
2535,315627.8228435774
2536,229331.39161881135
2537,231242.42981872757
2538,181184.9393280893
2539,189101.7577475057
2540,180185.79227791753
2541,177839.02322184385
2542,170526.30335026715
2543,124961.47944859944
2544,119014.65893670364
2545,138080.12404351242
2546,125739.59358235984
2547,131736.14681778883
2548,146534.0965785983
2549,155654.14528197155
2550,486124.3533595227
2551,134480.4160727372
2552,125684.25460656638
2553,75160.93676685198
2554,111701.75569801521
2555,115063.3444016073
2556,97665.90466246722
2557,107302.75830585849
2558,150173.68278610846
2559,141655.90747556285
2560,143547.96210310515
2561,142045.7447630449
2562,132375.37345398706
2563,150995.70872721635
2564,202375.47317921207
2565,131995.3271458052
2566,172234.91147400448
2567,141862.01712700745
2568,198960.62920371327
2569,208481.324695851
2570,113793.82347042102
2571,181926.95377384126
2572,159930.60715663913
2573,224666.77920192297
2574,263206.96404366347
2575,126952.93981097116
2576,129097.81065244314
2577,149421.19726489222
2578,85842.0573325313
2579,71403.01546290985
2580,122004.20057044482
2581,115926.70819330378
2582,114145.65812860179
2583,282589.7716345301
2584,168793.5963364837
2585,174349.37100142046
2586,214876.56273092297
2587,184078.658531583
2588,148192.9029468903
2589,141063.88008488162
2590,217492.69029472646
2591,230066.4739142149
2592,217533.22445279898
2593,250052.96634873262
2594,183229.41060842865
2595,194685.6387346933
2596,319070.60702706274
2597,185749.73553000763
2598,302054.9600866335
2599,321488.4025521171
2600,128609.78355985465
2601,146296.44499205775
2602,79986.56641090612
2603,92524.08269306691
2604,88540.4902482225
2605,76391.26712480187
2606,144505.7270131488
2607,188833.74810299944
2608,195741.02367698358
2609,170788.95756292157
2610,115359.71230213222
2611,118184.73621269428
2612,154965.41906961898
2613,132946.30785957054
2614,131168.89051354467
2615,153796.70421834107
2616,141179.22640117854
2617,164027.06061419667
2618,194197.19420075175
2619,195659.63663545527
2620,187073.20620687897
2621,176933.99840953908
2622,182965.61948467544
2623,250997.13426471053
2624,313536.203453611
2625,310695.45174496976
2626,177351.63666234276
2627,168431.88924556487
2628,496720.0337697303
2629,484255.8598035324
2630,352788.588738121
2631,457551.690479996
2632,447709.5594394439
2633,310865.20166032284
2634,434974.11403555813
2635,159449.48517065935
2636,181508.142294063
2637,175885.29374893013
2638,265242.43084465916
2639,192835.37889247297
2640,156483.46454245457
2641,106465.17889843138
2642,181558.55021140305
2643,100054.54653071713
2644,128490.75975021576
2645,101814.394169518
2646,94160.4415207261
2647,101746.27140609248
2648,144712.50754025404
2649,148501.8046790015
2650,144681.34312317477
2651,145737.61504194493
2652,462098.6689685945
2653,252191.27738842182
2654,245155.80308958376
2655,420179.9707253366
2656,313540.9801259174
2657,361465.61566356
2658,298362.50443394744
2659,307157.19064273505
2660,355985.28849651
2661,344918.5611179395
2662,364943.64977750584
2663,277742.1628672214
2664,268458.3442583158
2665,310577.2262679632
2666,284830.0607614909
2667,168757.9075507014
2668,176243.6590090912
2669,178747.87583174277
2670,273309.9069172268
2671,176762.4964516781
2672,193522.60500904373
2673,202837.43585479358
2674,198967.54243290785
2675,166759.84128287356
2676,183416.3401754975
2677,190568.7185073022
2678,256448.50927874068
2679,270290.92213766236
2680,277728.3476824859
2681,436034.5723754512
2682,321681.2781298443
